bp_points_ui_blocks.bp_points_id -> bp_points.id  [bp_points_ui_blocks_bp_points_id_bp_points_fk]
bp_points_ui_blocks.ui_block_tpl_id -> ui_block_tpl.id  [bp_points_ui_blocks_ui_block_tpl_id_ui_block_tpl_fk]
bp_points_ui_blocks.ui_width_id -> ui_widths.id  [bp_points_ui_blocks_ui_width_id_ui_widths_fk]
bp_points_ui_blocks_n.bp_points_ui_blocks_id -> bp_points_ui_blocks.id  [bp_points_ui_blocks_n_bp_points_ui_blocks_id_bp_points_ui_bl_fk]
bp_points_ui_blocks_n.lp_id -> bp_points_ui_blocks_n_lp.id  [bp_points_ui_blocks_n_lp_id_bp_points_ui_blocks_n_lp_fk]
bp_points_ui_blocks_n.t_id -> bp_points_ui_blocks_n_t.id  [bp_points_ui_blocks_n_t_id_bp_points_ui_blocks_n_t_fk]
bp_points_ui_blocks_n.ui_comp_id -> ui_components.id  [bp_points_ui_blocks_n_ui_comp_id_ui_components_fk]
bp_points_ui_blocks_n.ui_width_id -> ui_widths.id  [bp_points_ui_blocks_n_ui_width_id_ui_widths_fk]
bp_points_ui_blocks_n.var_id -> bp_process_vars.id  [bp_points_ui_blocks_n_var_id_bp_process_vars_fk]
bp_points_ui_blocks_n_cpv.bp_points_ui_blocks_n_id -> bp_points_ui_blocks_n.id  [bp_points_ui_blocks_n_cpv_bp_points_ui_blocks_n_id_bp_points_fk]
bp_points_ui_blocks_n_cpv.param_id -> ui_comp_params.id  [bp_points_ui_blocks_n_cpv_param_id_ui_comp_params_fk]
bp_points_ui_blocks_n_lp.created_by -> users.id  [bp_points_ui_blocks_n_lp_created_by_users_fk]
bp_points_ui_blocks_n_t.created_by -> users.id  [bp_points_ui_blocks_n_t_created_by_users_fk]
bp_process_actors.bp_id -> bp_processes.id  [bp_process_actors_bp_id_bp_processes_fk]
bp_process_actors.created_by -> users.id  [bp_process_actors_created_by_users_fk]
bp_process_email_tpls.detail_id -> details.id  [bp_process_email_tpls_detail_id_details_fk]
bp_process_email_tpls.process_id -> bp_processes.id  [bp_process_email_tpls_process_id_bp_processes_fk]
bp_process_form_types.created_by -> users.id  [bp_process_form_types_created_by_users_fk]
bp_process_form_vars.form_id -> bp_process_forms.id  [bp_process_form_vars_form_id_bp_process_forms_fk]
bp_process_form_vars.var_id -> bp_process_vars.id  [bp_process_form_vars_var_id_bp_process_vars_fk]
bp_process_forms.created_by -> users.id  [bp_process_forms_created_by_users_fk]
bp_process_forms.process_id -> bp_processes.id  [bp_process_forms_process_id_bp_processes_fk]
bp_process_forms.type_id -> bp_process_form_types.id  [bp_process_forms_type_id_bp_process_form_types_fk]
bp_process_roles.created_by -> users.id  [bp_process_roles_created_by_users_fk]
bp_process_roles.process_id -> bp_processes.id  [bp_process_roles_process_id_bp_processes_fk]
